104,消失的爱人 Gone Girl,导演 : 大卫·芬奇,8.7,443079,2014-09-26, 美国, 英语,剧情 悬疑 惊悚 犯罪
105,爱在黎明破晓前 Before Sunrise,导演 : 理查德·林克莱特,8.7,272454,1995-01-27, 美国 / 奥地利 / 瑞士, 英语 / 德语 / 法语,剧情 爱情
106,上帝之城 Cidade de Deus,导演 : 卡迪亚·兰德 费尔南多·梅里尔斯,8.9,180704,2002-05-18, 巴西 / 法国, 葡萄牙语,剧情 犯罪
107,寻梦环游记 Coco,导演 : 李·昂克里奇 阿德里安·莫利纳,9.0,613890,2017-11-24, 美国, 英语 / 西班牙语,喜剧 动画 音乐 奇幻
108,喜剧之王 喜劇之王,导演 : 周星驰 李力持,8.6,403632,1999-02-13, 香港, 粤语,剧情 喜剧 爱情
109,小森林 夏秋篇 リトル・フォレスト 夏・秋,导演 : 森淳一,8.9,179300,2014-08-30, 日本, 日语,剧情
110,侧耳倾听 耳をすませば,导演 : 近藤喜文,8.8,212156,1995-07-15, 日本, 日语 / 英语,剧情 爱情 动画
111,倩女幽魂,导演 : 程小东,8.6,327777,2011-04-30, 香港, 粤语,剧情 爱情 武侠 古装
112,恐怖直播 더 테러 라이브,导演 : 金秉祐,8.7,288369,2013-07-31, 韩国, 韩语,剧情 悬疑 犯罪
113,风之谷 風の谷のナウシカ,导演 : 宫崎骏,8.8,211730,1992-05(中国, 日本, 日语,动画 奇幻 冒险
114,超脱 Detachment,导演 : 托尼·凯耶,8.8,217285,2011-04-25, 美国, 英语,剧情
115,爱在日落黄昏时 Before Sunset,导演 : 理查德·林克莱特,8.8,240495,2004-02-10, 美国, 英语 / 法语,剧情 爱情
116,红辣椒 パプリカ,导演 : 今敏,8.9,170909,2006-09-02, 日本, 日语,科幻 动画 悬疑 惊悚
117,菊次郎的夏天 菊次郎の夏,导演 : 北野武,8.8,232663,1999-05-20, 日本, 日语,剧情 喜剧
118,驯龙高手 How to Train Your Dragon,导演 : 迪恩·德布洛斯 克里斯·桑德斯,8.7,352215,2010-05-14, 美国, 英语,喜剧 动画 奇幻 冒险
119,幸福终点站 The Terminal,导演 : 史蒂文·斯皮尔伯格,8.7,268802,2005-01-14, 美国, 英语 / 俄语 / 法语 / 保加利亚语,剧情 喜剧 爱情
120,神偷奶爸 Despicable Me,导演 : 皮埃尔·柯芬 克里斯·雷纳德,8.5,474943,2010-06-20, 美国 / 法国, 英语,喜剧 动画 冒险
121,杀人回忆 살인의 추억,导演 : 奉俊昊,8.7,253336,2003-05-02, 韩国, 韩语,剧情 悬疑 惊悚 犯罪
122,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,导演 : 米林宏昌,8.7,261587,2010-07-17, 日本, 日语,动画 奇幻 冒险
123,请以你的名字呼唤我 Call Me by Your Name,导演 : 卢卡·瓜达尼诺,8.8,244029,2017-01-22, 意大利 / 法国 / 巴西 / 美国, 意大利语 / 法语 / 德语 / 英语,剧情 爱情 同性
124,七武士 七人の侍,导演 : 黑泽明,9.2,94746,1954-04-26, 日本, 日语,剧情 动作 冒险
125,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,导演 : 大卫·叶茨,8.7,340393,2011-08-04, 美国 / 英国, 英语,剧情 悬疑 奇幻 冒险
126,岁月神偷 歲月神偷,导演 : 罗启锐,8.6,353778,2010-04-16, 香港 / 中国大陆, 粤语 / 汉语普通话 / 英语 / 上海话 / 法语,剧情 家庭
127,小森林 冬春篇 リトル・フォレスト 冬・春,导演 : 森淳一,9.0,155445,2015-02-14, 日本, 日语,剧情
128,怪兽电力公司 Monsters, Inc.,导演 : 彼特·道格特 大卫·斯沃曼 李·昂克里奇,8.6,302656,2001-11-02, 美国, 英语,喜剧 动画 儿童 奇幻 冒险
129,萤火虫之墓 火垂るの墓,导演 : 高畑勋,8.7,239430,1988-04-16, 日本, 日语,剧情 动画 战争
130,谍影重重3 The Bourne Ultimatum,导演 : 保罗·格林格拉斯,8.7,218400,2007-11-15, 美国 / 德国, 英语 / 法语 / 阿拉伯语 / 俄语 / 西班牙语,动作 悬疑 惊悚
131,电锯惊魂 Saw,导演 : 温子仁,8.7,238252,2004-01-19, 美国, 英语,悬疑 惊悚 恐怖
132,7号房的礼物 7번방의 선물,导演 : 李焕庆,8.7,222569,2013-01-23, 韩国, 韩语,剧情 喜剧 家庭
133,东邪西毒 東邪西毒,导演 : 王家卫,8.6,307733,1994-09-17, 香港 / 台湾, 粤语 / 汉语普通话,剧情 动作 爱情 武侠 古装
134,喜宴 囍宴,导演 : 李安,8.8,168717,1993-02(柏林, 台湾 / 美国, 汉语普通话 / 英语,剧情 喜剧 爱情 同性 家庭
135,疯狂原始人 The Croods,导演 : 柯克·德·米科 克里斯·桑德斯,8.7,442711,2013-04-20, 美国, 英语,喜剧 动画 冒险
136,贫民窟的百万富翁 Slumdog Millionaire,导演 : 丹尼·博伊尔 洛芙琳·坦丹,8.5,448713,2009-03-26, 英国 / 美国, 英语 / 印地语 / 法语,剧情 爱情
137,萤火之森 蛍火の杜へ,导演 : 大森贵弘,8.8,205331,2011-09-17, 日本, 日语,剧情 爱情 动画 奇幻
